capacity,seed,heuristic,n_orders,orders_completed,terminated_early,makespan_sec
10,119,FIFO,12,12,0,47.0
10,119,Greedy,12,7,1,100000.0
10,119,Order Driven,12,12,0,48.0
10,120,Assignment First,14,1,1,100000.0
10,120,FIFO,14,1,1,100000.0
10,120,Greedy,14,3,1,100000.0
10,120,Order Driven,14,4,1,100000.0
10,121,Assignment First,10,10,0,39.0
10,121,FIFO,10,10,0,49.0
10,121,Greedy,10,10,0,48.0
10,121,Order Driven,10,10,0,46.0
10,122,Assignment First,14,3,1,100000.0
10,122,FIFO,14,1,1,100000.0
10,122,Greedy,14,4,1,100000.0
10,122,Order Driven,14,14,0,88.0
10,123,Assignment First,10,10,0,36.0
10,123,FIFO,10,10,0,35.0
10,123,Greedy,10,4,1,100000.0
10,123,Order Driven,10,2,1,100000.0
10,124,Assignment First,12,0,1,100000.0
10,124,FIFO,12,5,1,100000.0
10,124,Greedy,12,2,1,100000.0
10,124,Order Driven,12,12,0,76.0
10,125,Assignment First,11,11,0,46.0
10,125,FIFO,11,11,0,48.0
10,125,Greedy,11,11,0,65.0
10,125,Order Driven,11,11,0,44.0
10,126,Assignment First,14,6,1,100000.0
10,126,FIFO,14,3,1,100000.0
10,126,Greedy,14,2,1,100000.0
10,126,Order Driven,14,4,1,100000.0
10,127,Assignment First,10,2,1,100000.0
10,127,FIFO,10,10,0,39.0
10,127,Greedy,10,4,1,100000.0
10,127,Order Driven,10,3,1,100000.0
10,128,Assignment First,11,11,0,60.0
10,128,FIFO,11,11,0,49.0
10,128,Greedy,11,11,0,41.0
10,128,Order Driven,11,11,0,48.0
10,129,Assignment First,14,0,1,100000.0
10,129,FIFO,14,3,1,100000.0
10,129,Greedy,14,1,1,100000.0
10,129,Order Driven,14,1,1,100000.0
10,130,Assignment First,14,14,0,71.0
10,130,FIFO,14,14,0,61.0
10,130,Greedy,14,5,1,100000.0
10,130,Order Driven,14,2,1,100000.0
10,131,Assignment First,12,12,0,53.0
10,131,FIFO,12,4,1,100000.0
10,131,Greedy,12,7,1,100000.0
10,131,Order Driven,12,12,0,78.0
10,132,Assignment First,13,13,0,64.0
10,132,FIFO,13,13,0,59.0
10,132,Greedy,13,3,1,100000.0
10,132,Order Driven,13,13,0,59.0
10,133,Assignment First,13,8,1,100000.0
10,133,FIFO,13,8,1,100000.0
10,133,Greedy,13,1,1,100000.0
10,133,Order Driven,13,5,1,100000.0
10,134,Assignment First,13,8,1,100000.0
10,134,FIFO,13,13,0,67.0
10,134,Greedy,13,9,1,100000.0
10,134,Order Driven,13,3,1,100000.0
10,135,Assignment First,15,2,1,100000.0
10,135,FIFO,15,6,1,100000.0
10,135,Greedy,15,3,1,100000.0
10,135,Order Driven,15,2,1,100000.0
10,136,Assignment First,14,1,1,100000.0
10,136,FIFO,14,5,1,100000.0
10,136,Greedy,14,4,1,100000.0
10,136,Order Driven,14,3,1,100000.0
10,137,Assignment First,10,10,0,52.0
10,137,FIFO,10,10,0,60.0
10,137,Greedy,10,3,1,100000.0
10,137,Order Driven,10,6,1,100000.0
10,138,Assignment First,11,11,0,53.0
10,138,FIFO,11,4,1,100000.0
10,138,Greedy,11,3,1,100000.0
10,138,Order Driven,11,5,1,100000.0
10,139,Assignment First,10,10,0,62.0
10,139,FIFO,10,0,1,100000.0
10,139,Greedy,10,2,1,100000.0
10,139,Order Driven,10,2,1,100000.0
10,140,Assignment First,10,10,0,49.0
10,140,FIFO,10,10,0,48.0
10,140,Greedy,10,10,0,58.0
10,140,Order Driven,10,3,1,100000.0
10,141,Assignment First,14,14,0,75.0
10,141,FIFO,14,2,1,100000.0
10,141,Greedy,14,7,1,100000.0
10,141,Order Driven,14,6,1,100000.0
10,142,Assignment First,14,4,1,100000.0
10,142,FIFO,14,3,1,100000.0
10,142,Greedy,14,1,1,100000.0
10,142,Order Driven,14,2,1,100000.0
10,143,Assignment First,11,1,1,100000.0
10,143,FIFO,11,6,1,100000.0
10,143,Greedy,11,1,1,100000.0
10,143,Order Driven,11,7,1,100000.0
10,144,Assignment First,13,3,1,100000.0
10,144,FIFO,13,2,1,100000.0
10,144,Greedy,13,3,1,100000.0
10,144,Order Driven,13,5,1,100000.0
10,145,Assignment First,13,1,1,100000.0
10,145,FIFO,13,2,1,100000.0
10,145,Greedy,13,2,1,100000.0
10,145,Order Driven,13,5,1,100000.0
10,146,Assignment First,11,11,0,39.0
10,146,FIFO,11,5,1,100000.0
10,146,Greedy,11,6,1,100000.0
10,146,Order Driven,11,2,1,100000.0
10,147,Assignment First,14,4,1,100000.0
10,147,FIFO,14,2,1,100000.0
10,147,Greedy,14,1,1,100000.0
10,147,Order Driven,14,2,1,100000.0
10,148,Assignment First,13,13,0,80.0
10,148,FIFO,13,1,1,100000.0
10,148,Greedy,13,0,1,100000.0
10,148,Order Driven,13,3,1,100000.0
10,149,Assignment First,10,5,1,100000.0
10,149,FIFO,10,4,1,100000.0
10,149,Greedy,10,7,1,100000.0
10,149,Order Driven,10,10,0,42.0
